;Postcode;Borough;Neighbourhood
;8102;ÿZrich Kanton;Oberengstringenÿ
;8103;ÿZrich Kanton;Unterengstringenÿ
;8104;ÿZrich Kanton;Weiningenÿ
;8044;ÿZrich Kanton;Gockhausenÿ
;8105;Regensdorf;Wattÿ
;8106;Regensdorf;Adlikon bei Regensdorfÿ
;8107;Regensdorf;Buchsÿ
;8108;Regensdorf;D„llikonÿ
;8112;Regensdorf;Otelfingenÿ
;8113;Regensdorf;Boppelsenÿ
;8114;Regensdorf;D„nikonÿ
;8115;Regensdorf;Httikonÿ
;8117;Regensdorf;F„llandenÿ
;8118;Regensdorf;Pfaffhausenÿ
;8121;Regensdorf;Benglenÿ
;8122;Regensdorf;Binzÿ
;8123;Regensdorf;Ebmatingenÿ
;8124;Regensdorf;Maurÿ
;8125;Regensdorf;Zollikerbergÿ
;8126;Regensdorf;Zumikonÿ
;8127;Regensdorf;Forchÿ
;8130;Regensdorf;Zumikon Yves Rocher SAÿ
;8132;Regensdorf;Hintereggÿ
;8132;Regensdorf;Egg bei Zrichÿ
;8133;Regensdorf;Esslingenÿ
;8134;Regensdorf;Adliswilÿ
;8135;Regensdorf;Langnau am Albisÿ
;8135;Regensdorf;Sihlbrugg Stationÿ
;8136;Regensdorf;Gattikonÿ
;8142;Regensdorf;Uitikon Waldeggÿ
;8143;Regensdorf;Uetlibergÿ
;8143;Regensdorf;Stallikonÿ
;8152;Regensdorf;Glattbruggÿ
;8152;Regensdorf;Opfikonÿ
;8153;Regensdorf;Rmlangÿ
;8154;Regensdorf;Oberglattÿ
;8155;Regensdorf;Niederhasliÿ
;8156;Regensdorf;Oberhasliÿ
;8157;Regensdorf;Dielsdorfÿ
;8158;Regensdorf;Regensbergÿ
;8162;Regensdorf;Steinmaurÿ
;8164;Regensdorf;Bachsÿ
;8165;Regensdorf;Sch”fflisdorfÿ
;8165;Regensdorf;Oberweningenÿ
;8165;Regensdorf;Schleinikonÿ
;8166;Regensdorf;Niederweningenÿ
;8172;Regensdorf;Niederglattÿ
;8173;Regensdorf;Neerachÿ
;8174;Regensdorf;Stadel bei Niederglattÿ
;8175;Regensdorf;Windlachÿ
;8180;Regensdorf;Blachÿ
;8181;Regensdorf;H”riÿ
;8182;Regensdorf;Hochfeldenÿ
;8184;Regensdorf;Bachenblachÿ
;8185;Regensdorf;Winkelÿ
;8187;Regensdorf;Weiachÿ
;8192;Regensdorf;Glattfeldenÿ
;8192;Regensdorf;Zweidlenÿ
;8193;Regensdorf;Eglisauÿ
;8194;Regensdorf;Hntwangenÿ
;8195;Regensdorf;Wasterkingenÿ
;8196;Regensdorf;Wilÿ
;8197;Regensdorf;Rafzÿ
;8212;Regensdorf;Nohlÿ
;8245;Regensdorf;Feuerthalenÿ
;8246;Regensdorf;Langwiesenÿ
;8247;Regensdorf;Flurlingenÿ
;8248;Regensdorf;Uhwiesenÿ
;8301;Regensdorf;Glattzentrumÿ
;8302;Regensdorf;Klotenÿ
;8303;Regensdorf;Bassersdorfÿ
;8304;Regensdorf;Wallisellenÿ
;8305;Regensdorf;Dietlikonÿ
;8306;Regensdorf;Brttisellenÿ
;8307;Regensdorf;Effretikonÿ
;8307;Regensdorf;Ottikon bei Kemptthalÿ
;8308;Regensdorf;Illnauÿ
;8308;Regensdorf;Agasulÿ
;8309;Regensdorf;Nrensdorfÿ
;8310;Regensdorf;Kemptthalÿ
;8311;Regensdorf;Brttenÿ
;8312;Regensdorf;Winterbergÿ
;8314;Regensdorf;Kyburgÿ
;8315;Regensdorf;Lindauÿ
;8317;Regensdorf;Tagelswangenÿ
;8320;Regensdorf;Fehraltorfÿ
;8322;Regensdorf;Madetswilÿ
;8330;Regensdorf;Pf„ffikonÿ
;8330;Regensdorf;Hermatswilÿ
;8331;Regensdorf;Auslikonÿ
;8332;Regensdorf;Russikonÿ
;8335;Regensdorf;Hittnauÿ
;8335;Regensdorf;Oberhittnauÿ
;8335;Regensdorf;Drstelenÿ
;8340;Regensdorf;Hinwilÿ
;8342;Regensdorf;Wernetshausenÿ
;8344;Regensdorf;B„retswilÿ
;8345;Regensdorf;Adetswilÿ
;8352;Regensdorf;R„terschenÿ
;8353;Regensdorf;Elggÿ
;8354;Regensdorf;Hofstettenÿ
;8400;Regensdorf;-8403 Winterthurÿ
;8404;Regensdorf;Reutlingenÿ
;8404;Regensdorf;Stadel (Winterthur)ÿ
;8412;Winterthur;Aesch bei Neftenbachÿ
;8413;Winterthur;Neftenbachÿ
;8414;Winterthur;Buch am Irchelÿ
;8415;Winterthur;Berg am Irchelÿ
;8415;Winterthur;Gr„slikonÿ
;8416;Winterthur;Flaachÿ
;8418;Winterthur;Schlatt bei Winterthur
;8421;Winterthur;D„ttlikon
;8422;Winterthur;Pfungenÿ
;8423;Winterthur;Embrach-Embraportÿ
;8424;Winterthur;Embrachÿ
;8425;Winterthur;Oberembrachÿ
;8426;Winterthur;Lufingenÿ
;8427;Winterthur;Rorbas-Freiensteinÿ
;8427;Winterthur;Freiensteinÿ
;8427;Winterthur;Rorbasÿ
;8428;Winterthur;Teufenÿ
;8442;Winterthur;Hettlingenÿ
;8444;Winterthur;Henggartÿ
;8447;Winterthur;Dachsenÿ
;8450;Winterthur;Andelfingenÿ
;8451;Winterthur;Kleinandelfingenÿ
;8452;Winterthur;Adlikon bei Andelfingenÿ
;8453;Winterthur;Altenÿ
;8457;Winterthur;Humlikonÿ
;8458;Winterthur;Dorfÿ
;8459;Winterthur;Volkenÿ
;8460;Winterthur;Marthalenÿ
;8461;Winterthur;Oerlingenÿ
